configuration,window_s,cell,component,point,low,high,se
calendar_3day_seed20260921,100_1000,alt0_open_experts,altitude_equipment,-0.00035663025645982227,-0.0031838107596309285,0.002406579609540664,0.0017022548554676189
calendar_3day_seed20260921,100_1000,alt0_open_experts,circuit_equipment,0.0012113738103693983,0.0001849880631190348,0.0022418784234155883,0.0006137467065177323
calendar_3day_seed20260921,100_1000,alt0_open_experts,three_way,-0.000874669148889895,-0.003649810392143316,0.002138009015621632,0.0017203533424452707
calendar_3day_seed20260921,100_1000,alt0_closed_beginners,altitude,0.004464751357227459,0.0015731480841570664,0.007052233449578153,0.0016749089372110127
calendar_3day_seed20260921,100_1000,alt0_closed_beginners,circuit,-0.020863782910879203,-0.022012724014462682,-0.019771013183229647,0.0006951061147170654
calendar_3day_seed20260921,100_1000,alt0_closed_beginners,equipment,-0.004479963147880572,-0.005540543153328065,-0.0034850009904021655,0.000598014044636563
calendar_3day_seed20260921,100_1000,alt0_closed_beginners,altitude_circuit,-0.018490889488028905,-0.021473771019957528,-0.01590281719341034,0.001719492429215499
calendar_3day_seed20260921,100_1000,alt0_closed_beginners,altitude_equipment,0.0003566302564600443,-0.0024065796095408824,0.003183810759630917,0.0017022548554676141
calendar_3day_seed20260921,100_1000,alt0_closed_beginners,circuit_equipment,0.0012113738103692873,0.00018498806311913473,0.0022418784234155883,0.0006137467065177345
calendar_3day_seed20260921,100_1000,alt0_closed_beginners,three_way,-0.000874669148889784,-0.0036498103921434105,0.002138009015621621,0.0017203533424452666
calendar_3day_seed20260921,100_1000,alt0_closed_experts,altitude,0.004464751357227459,0.0015731480841570664,0.007052233449578153,0.0016749089372110127
calendar_3day_seed20260921,100_1000,alt0_closed_experts,circuit,-0.020863782910879203,-0.022012724014462682,-0.019771013183229647,0.0006951061147170654
calendar_3day_seed20260921,100_1000,alt0_closed_experts,equipment,0.00447996314788035,0.0034850009904019486,0.005540543153327853,0.0005980140446365608
calendar_3day_seed20260921,100_1000,alt0_closed_experts,altitude_circuit,-0.018490889488028905,-0.021473771019957528,-0.01590281719341034,0.001719492429215499
calendar_3day_seed20260921,100_1000,alt0_closed_experts,altitude_equipment,-0.00035663025645982227,-0.0031838107596309285,0.002406579609540664,0.0017022548554676189
calendar_3day_seed20260921,100_1000,alt0_closed_experts,circuit_equipment,-0.0012113738103689542,-0.0022418784234155722,-0.00018498806311881838,0.0006137467065177332
calendar_3day_seed20260921,100_1000,alt0_closed_experts,three_way,0.0008746691488894509,-0.002138009015621634,0.0036498103921433086,0.001720353342445267
calendar_3day_seed20260921,100_1000,alt1_open_beginners,altitude,0.000982105207501749,-0.0005040004081943498,0.0024662122823344568,0.0009116132564930296
calendar_3day_seed20260921,100_1000,alt1_open_beginners,circuit,0.02086378291087898,0.01977101318322964,0.022012724014462574,0.0006951061147170695
