configuration,window_s,cell,flights,groups,largest_group_fraction,size_balance_index,cells_point,cells_low,cells_high,cells_se,cells_sim_low,cells_sim_high,residual_point,residual_low,residual_high,residual_se,residual_sim_low,residual_sim_high,fit_rms_dex
calendar_1day_seed20260921,1000_10000,alt1_open_experts,1015,660,0.009852216748768473,428.7245110278818,0.9692174324503494,0.9663330843362844,0.9718409084120342,0.0016546464432737502,0.9647657709681133,0.9736690939325855,0.05516762716079626,0.048094286744701495,0.06198215498869485,0.0042189779076761596,0.04421260433114501,0.06612264999044752,0.001615506773034088
calendar_1day_seed20260921,1000_10000,alt1_closed_beginners,282,250,0.014184397163120567,223.38202247191012,0.581119158331841,0.5630752632447926,0.5993154888612545,0.011098126494864847,0.5512607541736543,0.6109775624900278,-0.05031306322944473,-0.06333017397234353,-0.037134921445994395,0.00803821282731462,-0.07118513389675253,-0.02944099256213693,0.10253605668386014
calendar_1day_seed20260921,1000_10000,alt1_closed_experts,489,386,0.016359918200409,294.1217712177122,0.5921262263364485,0.5791783855012579,0.6052374153315563,0.007995518093416878,0.5706150811176768,0.6136373715552202,-0.07269298543629521,-0.08273141165613761,-0.06197260239789246,0.00649198874632692,-0.0895501215678811,-0.05583584930470932,0.09415050582739737
calendar_1day_seed20260921,1000_10000,alt2_open_beginners,4809,1307,0.008317737575379496,558.9481812688822,0.8307208524047782,0.8255983734105106,0.8355619334732287,0.002973951329869253,0.8227197325044869,0.8387219723050695,-0.04054866762456344,-0.04666184386517777,-0.034688745447080074,0.003720540499002449,-0.050209444949577686,-0.030887890299549192,0.014572926127509836
calendar_1day_seed20260921,1000_10000,alt2_open_experts,2312,1081,0.007785467128027681,566.1241262444397,0.8783417264753185,0.8726096464796322,0.8838547185399337,0.0035379434248328976,0.8688232420071211,0.8878602109435159,-0.02631478376548113,-0.03343187089879287,-0.019884413037942562,0.0041883131267381754,-0.03719018224473447,-0.015439385286227793,0.009734716712428265
calendar_1day_seed20260921,1000_10000,alt2_closed_beginners,8924,1490,0.010309278350515464,437.9263137056507,0.6426547017056954,0.6359184527585487,0.6496374087155901,0.004140319774252123,0.6315155836553692,0.6537938197560216,0.020615775193163155,0.014757676123204133,0.0268804482982749,0.0038319369461197934,0.010665745198896433,0.03056580518742988,0.07492380757708023
calendar_1day_seed20260921,1000_10000,alt2_closed_experts,5066,1386,0.008290564547966837,520.8287198636253,0.7016735929208717,0.6941688891287177,0.7083398247190422,0.00419687126234125,0.6903823287233654,0.7129648571183781,0.046247676196881526,0.04032763712867776,0.05285532944533025,0.0038933767836262637,0.03613811115946873,0.05635724123429432,0.060161778465340966
calendar_1day_seed20260921,1000_10000,alt3_open_beginners,4476,1273,0.006702412868632708,539.2306615707596,0.8286044448367922,0.8237696600739337,0.8330546914308166,0.0027271707919545754,0.8212672633988026,0.8359416262747817,-0.06979415283963863,-0.07627782769546254,-0.06402472683404177,0.0038433259758823943,-0.0797737556555193,-0.05981455002375797,0.016075942258717557
calendar_1day_seed20260921,1000_10000,alt3_open_experts,2039,970,0.005885237861696911,579.6069984664715,0.8501008254313033,0.8443593285738754,0.8556391815377152,0.0033554707750262738,0.8410732654563763,0.8591283854062303,-0.08168476245658551,-0.08852127077981484,-0.07538563091962758,0.004132940352207233,-0.09241637966407065,-0.07095314524910037,0.01364483119762842
calendar_1day_seed20260921,1000_10000,alt3_closed_beginners,7442,1341,0.0083310937919914,484.9002241367234,0.7138276423875779,0.7084791439670244,0.7193487918185072,0.003274293241830842,0.7050184824818729,0.7226368022932829,0.0646596382279565,0.058815145284434524,0.07146026557244942,0.0038635183252930362,0.054627603838927424,0.07469167261698559,0.056680652268850495
