configuration,seed,contrast,point,low,high,se,se_ratio,contains_zero,site_day_contains_zero
calendar_1day_all_sites,20260922,equipment_alt3,0.015745432244622215,0.014356228086255501,0.01703025078566019,0.0008239334498908385,0.9883673697975405,False,False
calendar_1day_all_sites,20260922,mountain_regions,0.03696487029079909,0.03258728935773918,0.0410318072023373,0.0025785981427269094,1.0700742729054353,False,False
calendar_1day_all_sites,20260922,lowland_regions,-0.0020132836586727043,-0.005202133577033507,0.0013280446111687545,0.0019438156367334223,1.161799842904996,True,True
calendar_1day_all_sites,20260922,circuit_altitude_open_minus_closed_0,0.12833368565036885,0.11903766015570491,0.1382285600526751,0.005871223185243038,1.0823570134048162,False,False
calendar_1day_all_sites,20260922,circuit_altitude_open_minus_closed_1,0.12880226891223145,0.12454417500194721,0.13254699146484145,0.0023877111146342702,1.0769344681120006,False,False
calendar_1day_all_sites,20260922,circuit_altitude_open_minus_closed_2,0.04769380668054535,0.04518826134247211,0.05042150543483665,0.0015637291305854034,1.4373103724529313,False,False
calendar_1day_all_sites,20260922,circuit_altitude_open_minus_closed_3,0.022741488193559256,0.0204944393736226,0.02499436678016325,0.0013390952818060767,1.427175759989462,False,False
calendar_1day_all_sites,20260922,circuit_altitude_open_0_minus_2,0.05997638759911361,0.05775232056460606,0.06206694130223647,0.0013245879152337906,1.2468781356019287,False,False
calendar_1day_all_sites,20260922,circuit_altitude_open_0_minus_3,0.06428534158053845,0.06199869571411164,0.06661395723560828,0.0013731839081030808,1.299813356035448,False,False
calendar_1day_all_sites,20260922,circuit_altitude_open_1_minus_2,0.05084594074416049,0.04852451079905253,0.05315492708959396,0.0014151780547310836,1.18776739263462,False,False
calendar_1day_all_sites,20260922,circuit_altitude_open_1_minus_3,0.055154894725585324,0.052769026456629245,0.057561539235082476,0.0014550512647769306,1.2129624230376543,False,False
calendar_1day_all_sites,20260922,circuit_altitude_closed_0_minus_2,-0.020663491370709886,-0.03011767588218216,-0.011439242444367082,0.0057180967774993555,1.062305006608189,False,False
calendar_1day_all_sites,20260922,circuit_altitude_closed_0_minus_3,-0.04130685587627114,-0.051485273382918764,-0.031761389060401025,0.005933752386456569,1.10099475169183,False,False
calendar_1day_all_sites,20260922,circuit_altitude_closed_1_minus_2,-0.030262521487525618,-0.03390307216364358,-0.026359396433928484,0.002263193098604148,1.077074723292091,False,False
calendar_1day_all_sites,20260922,circuit_altitude_closed_1_minus_3,-0.050905885993086875,-0.05464406114870587,-0.04681199295976672,0.0023405866208891356,1.107328119009744,False,False
calendar_3day_all_sites,20260921,open_closed,0.054301860094277066,0.0517757157695716,0.056746541859530146,0.0014973469644746094,1.8329788332239778,False,False
calendar_3day_all_sites,20260921,experts_beginners,0.02467126426737709,0.023140931930146,0.02617140698933938,0.0009223653347279096,1.264055095927236,False,False
calendar_3day_all_sites,20260921,equipment_alt0,0.013116646245735608,0.010726301939192912,0.015822908233350204,0.0015648214947393498,1.1062968372590327,False,False
calendar_3day_all_sites,20260921,alt0_alt1,0.021058841609085333,0.018633182584956658,0.02363310515777297,0.0015494663667133877,1.167076422528771,False,False
calendar_3day_all_sites,20260921,equipment_interaction_0_1,0.0005892996605814105,-0.003766642824873195,0.005153560764258788,0.0027288103928842745,1.1010753962112911,True,True
calendar_3day_all_sites,20260921,alt0_alt2,0.08354400755794988,0.08110511416793474,0.08564282867846847,0.001367233689554918,1.309052171824,False,False
calendar_3day_all_sites,20260921,equipment_interaction_0_2,-0.007539751394009309,-0.01048396451665871,-0.00411184385651639,0.0019504113939888884,1.1479547402528696,False,False
calendar_3day_all_sites,20260921,alt0_alt3,0.07448195415740744,0.07183195938690477,0.07674413927333512,0.0014646312238181893,1.453840426908615,False,False
calendar_3day_all_sites,20260921,equipment_interaction_0_3,-0.002628785998886829,-0.005499894974384673,0.0006073435350107513,0.001859484139480253,1.149352281733075,True,True
