configuration,seed,group,archive_groups,contributing_groups,H,H_low,H_high,H_se_ratio,H_interval_width_ratio,MSD_se_ratio_at_100,full_band_width_pct_at_100,MSD_se_ratio_at_1000,full_band_width_pct_at_1000,MSD_se_ratio_at_10000,full_band_width_pct_at_10000
calendar_1day_all_sites,20260922,beginners_alt0,6086,424,0.9396226270351106,0.9368231305221066,0.9420206660565572,1.1733533762416117,1.1917713667364114,1.1654004113827645,6.116286194859053,1.167725586167129,8.325274323568529,1.1838615643361696,11.188689936677855
calendar_1day_all_sites,20260922,beginners_alt1,6086,778,0.9201659745549254,0.9172993794175816,0.9228472562250867,1.1091386514760384,1.0744146399413697,1.0874561606633806,4.454674859381772,1.1003664630321255,6.302294592613884,1.102152087496691,10.895775282803829
calendar_1day_all_sites,20260922,beginners_alt2,6086,1875,0.8568831605745169,0.8552207129443725,0.8584813954887409,1.2786066864032446,1.2706011848335097,1.5915960053722864,1.718290696802677,1.5824403121187265,2.6378598108358964,1.2244990442344674,6.573914442048524
calendar_1day_all_sites,20260922,beginners_alt3,6086,1778,0.8679627559631677,0.8662917645573888,0.8696726145989184,1.5160859867567928,1.5255194294689023,1.8360601401472283,1.8154540698311485,1.8028567409640492,2.888651099043226,1.5051380411603623,6.595894099838152
calendar_1day_all_sites,20260922,experts,6086,2817,0.8945499375018993,0.8929808652484034,0.895981055555761,1.34141157884807,1.394930118097265,1.4410354268166639,1.5964543793663877,1.4206920272938823,2.3981865036072874,1.3428394567800097,6.39536931416226
calendar_1day_all_sites,20260922,experts_mountains,6086,2346,0.8806300089723654,0.879254269095602,0.8818626694970848,1.4487227877656779,1.4421810825214183,1.6521999968552543,1.5584656919246358,1.683233039702538,2.2776349013118335,1.4334066706597908,5.600819979641722
calendar_1day_all_sites,20260922,experts_lowlands,6086,1208,0.9416163959274051,0.9393770795956982,0.9438044283660587,1.2472312291614758,1.2241492659154418,1.2505214661375077,5.202577598226759,1.2578319406077,7.0965210738669455,1.2495649183868258,10.205738412227923
calendar_1day_all_sites,20260922,experts_alt0,6086,500,0.9527392732808463,0.9507848173528641,0.9546781230787291,1.1942026165358113,1.2200326521774143,1.1658639795527281,6.4114091064808925,1.1791921248384272,8.327166042119732,1.1801757037751395,10.126758005096166
calendar_1day_all_sites,20260922,experts_alt1,6086,949,0.9326933211400794,0.9294995764855112,0.9358298607530449,1.1778960387410293,1.212189531411632,1.1689131916715763,5.976881611917877,1.1758471627021068,8.388938365748945,1.1768379037473582,13.465282019846235
calendar_1day_all_sites,20260922,experts_alt2,6086,1759,0.8775395582142619,0.8757915294059517,0.8793373592309286,1.2995294914267566,1.288051767470214,1.4210430884449625,1.912320980709253,1.4504514756373945,2.7726094314572505,1.2907963684270103,7.613514157421722
calendar_1day_all_sites,20260922,experts_alt3,6086,1575,0.88370818820779,0.8820917536330426,0.8852555962845906,1.4052433364405854,1.4211789231068122,1.4988716082746756,2.050446347903378,1.5213208951144563,2.9654820231845496,1.3900040428726084,6.633389116528149
calendar_1day_all_sites,20260922,alps,6086,2288,0.8702414810219812,0.8689859051582497,0.8715110722569872,1.7555714137320688,1.7485783710025835,1.8690575545765342,1.463999911582718,1.9547926666972517,2.2038690452267167,1.6870681820360471,5.089196478482497
calendar_1day_all_sites,20260922,pyrenees,6086,702,0.8332766107311821,0.8292172145003861,0.8375686469956622,1.0611987441842574,1.032617544356628,1.2770089268432392,3.7371900061416956,1.2729523950274237,6.111933652092021,1.0686366173436088,17.548071318907354
calendar_1day_all_sites,20260922,channel_coast,6086,393,0.953084655928413,0.9502393346946585,0.9558130046712588,1.281094181076292,1.2508164436258487,1.2548207079142533,10.132479704238094,1.2636079568486793,12.684910410932686,1.267827256257104,14.802435007314122
calendar_1day_all_sites,20260922,champagne_lorraine,6086,331,0.9550979395870857,0.9528699168721637,0.9569623816163693,1.182185231091184,1.1885841478055896,1.1732391460008702,6.69714254218496,1.1788827003800764,8.302835755691753,1.1773620768076056,10.238907344092802
calendar_3day_all_sites,20260921,all,2412,1826,0.8822765078884933,0.8809351234108899,0.8836725868901103,1.6337405657117663,1.612406068354143,1.826492393938529,1.3948609827044818,1.8439876629451926,2.140399587855106,1.6013457090490584,5.829147583901817
calendar_3day_all_sites,20260921,open,2412,1549,0.9098750335173964,0.9081473487850736,0.9116554656652102,1.6105618620407396,1.6565868250016236,1.5556442052840116,2.1492916723986544,1.581288733754693,3.3778292280328834,1.600026883072989,6.8751869770804115
calendar_3day_all_sites,20260921,closed,2412,1507,0.8555731734231193,0.8540317333417475,0.8574070271446715,2.0461696134242144,1.9867460529803376,2.089442500403628,1.7172664906705184,2.207386621202328,2.689518274442289,2.040017086440486,7.264211542092337
calendar_3day_all_sites,20260921,alt0,2412,583,0.9495737534704647,0.947726136082281,0.9512848007785274,1.282100725874402,1.2821921572721828,1.2725127610400495,5.6951600907548965,1.2821496039749392,7.327878899504191,1.276454421997412,9.114614627390518
