discipline,circuit_type,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,open,Low mountains,fixed long segments,1049.0,49163908.69405371,1564,1192,47916098.44218005,50404545.821902394
paragliders,open,Low mountains,fixed long segments,1183.0,60994713.87148338,1564,1192,59413333.433157645,62576996.12860422
paragliders,open,Low mountains,fixed long segments,1334.0,75661145.11796676,1564,1192,73657878.15830332,77685064.87240475
paragliders,open,Low mountains,fixed long segments,1504.0,93839216.7129156,1564,1192,91304278.42176491,96413772.74823365
paragliders,open,Low mountains,fixed long segments,1695.0,116383796.00639386,1564,1192,113139464.38569589,119654267.71906734
paragliders,open,Low mountains,fixed long segments,1911.0,144362115.20268542,1564,1192,140221907.8425616,148498607.58828753
paragliders,open,Low mountains,fixed long segments,2155.0,179202703.72953963,1564,1192,173910122.63210204,184548388.1095314
paragliders,open,Low mountains,fixed long segments,2429.0,222152341.0601023,1564,1192,215382455.89118376,228993523.38679302
paragliders,open,Low mountains,fixed long segments,2739.0,275566803.0217391,1564,1192,266918779.1057715,284414267.76165396
paragliders,open,Low mountains,fixed long segments,3088.0,341494167.5268542,1564,1192,330449933.1305681,352761910.4122967
paragliders,open,Low mountains,fixed long segments,3481.0,422660162.24680305,1564,1192,408420866.796409,437004054.0890867
paragliders,open,Low mountains,fixed long segments,3925.0,522890852.6483376,1564,1192,504677555.3646337,541217064.9986997
paragliders,open,Low mountains,fixed long segments,4425.0,645807379.3606138,1564,1192,622262204.7397791,669628319.7547758
paragliders,open,Low mountains,fixed long segments,4989.0,796273966.8132992,1564,1192,766376812.6728734,827004020.2279861
paragliders,open,Low mountains,fixed long segments,5624.0,979118505.5933504,1564,1192,940977131.4565462,1018519411.6563153
paragliders,open,Low mountains,fixed long segments,6341.0,1201251919.2199488,1564,1192,1151886593.3252993,1252393205.0385582
paragliders,open,Low mountains,fixed long segments,7149.0,1469066915.2685423,1564,1192,1406473174.0546217,1534492685.542736
paragliders,open,Low mountains,fixed long segments,8059.0,1789079702.2225063,1564,1192,1708453824.5134752,1873009155.2810297
paragliders,open,Low mountains,fixed long segments,9086.0,2168734540.9053707,1564,1192,2064104062.2499642,2278007754.0639267
paragliders,open,Low mountains,fixed long segments,10000.0,2519585300.488491,1564,1192,2392481142.258406,2652820057.4031835
paragliders,open,High mountains,available segments,10.0,8185.998697584372,19403,13305,8154.546532470361,8220.326732047728
paragliders,open,High mountains,available segments,11.0,9863.381527230456,19403,13305,9821.48273114626,9903.412868806688
paragliders,open,High mountains,available segments,12.0,11049.280962049535,19403,13305,10997.923420453777,11097.069747653682
paragliders,open,High mountains,available segments,14.0,15172.824789455495,19403,13305,15106.455706900892,15242.764160665132
paragliders,open,High mountains,available segments,16.0,18937.26213232204,19403,13305,18854.413132234495,19020.21269353574
paragliders,open,High mountains,available segments,18.0,23870.179530473753,19403,13305,23764.830390388313,23981.97691312239
paragliders,open,High mountains,available segments,20.0,28160.296866661025,19403,13305,28033.849509662217,28287.415351835898
paragliders,open,High mountains,available segments,23.0,36913.28471841873,19403,13305,36738.566396336275,37092.29421805857
paragliders,open,High mountains,available segments,25.0,41132.768741390355,19403,13305,40929.84755501756,41332.78806661031
paragliders,open,High mountains,available segments,29.0,55463.0575136306,19403,13305,55187.772702084934,55742.1393932685
paragliders,open,High mountains,available segments,32.0,65198.87625842063,19403,13305,64859.31701939638,65528.33109701993
paragliders,open,High mountains,available segments,37.0,85238.58912420155,19403,13305,84789.95998805197,85693.73896224883
paragliders,open,High mountains,available segments,41.0,103478.38400158027,19403,13305,102929.90691487417,104040.72763619086
paragliders,open,High mountains,available segments,46.0,129292.47356353358,19403,13305,128598.61916233112,129996.58993139866
paragliders,open,High mountains,available segments,52.0,160120.73654700787,19402,13305,159221.83614496264,161016.10655672062
paragliders,open,High mountains,available segments,59.0,206419.3784696356,19400,13303,205240.0306495258,207603.58564550584
paragliders,open,High mountains,available segments,67.0,258465.89431891733,19397,13302,256951.9390778541,259982.39784875358
paragliders,open,High mountains,available segments,75.0,320964.86114531674,19397,13302,319067.1068476839,322891.55579616805
paragliders,open,High mountains,available segments,85.0,399524.9462460939,19397,13302,397067.96247959597,401960.26508212986
paragliders,open,High mountains,available segments,95.0,496757.6318354284,19396,13301,493702.5671466258,499838.97513607936
paragliders,open,High mountains,available segments,107.0,614805.5319808931,19394,13300,610923.4998570683,618686.670308359
paragliders,open,High mountains,available segments,121.0,766810.337981195,19394,13300,761882.8782060285,771742.3033427199
paragliders,open,High mountains,available segments,137.0,964757.582713898,19390,13297,958482.9841494425,971121.4410265553
paragliders,open,High mountains,available segments,154.0,1195388.4927349612,19385,13295,1187276.2725053702,1203355.4728965187
paragliders,open,High mountains,available segments,174.0,1494282.0614673689,19384,13294,1483977.0691256935,1504557.4284905526
paragliders,open,High mountains,available segments,196.0,1852085.6076935322,19383,13293,1839188.516846642,1865109.131893124
paragliders,open,High mountains,available segments,221.0,2295727.7338477075,19380,13291,2279354.2615599036,2312250.0567798493
paragliders,open,High mountains,available segments,249.0,2847121.134380351,19376,13289,2826214.1368340706,2868519.7748068613
paragliders,open,High mountains,available segments,281.0,3524316.284484061,19375,13288,3497822.205522683,3551175.4451956507
paragliders,open,High mountains,available segments,316.0,4342525.721989934,19372,13285,4309298.054936764,4376454.490307345
paragliders,open,High mountains,available segments,357.0,5375333.801291345,19370,13283,5333112.709107287,5418720.908895673
paragliders,open,High mountains,available segments,402.0,6612245.767389509,19366,13282,6559079.607376702,6666686.044856886
paragliders,open,High mountains,available segments,453.0,8151400.738292798,19362,13279,8083650.853516496,8221571.8776899
paragliders,open,High mountains,available segments,511.0,10034474.684635434,19361,13279,9949071.589482289,10121055.701688698
paragliders,open,High mountains,available segments,576.0,12336841.341171782,19351,13272,12227414.32848287,12447076.518552456
paragliders,open,High mountains,available segments,649.0,15139849.002913985,19338,13265,15003062.984439313,15279573.773176964
paragliders,open,High mountains,available segments,732.0,18594166.919809155,19321,13253,18421559.823940095,18773084.50347864
paragliders,open,High mountains,available segments,825.0,22811368.687213957,19314,13248,22591029.04411985,23037039.441923667
paragliders,open,High mountains,available segments,931.0,28026698.156275947,19299,13239,27751174.004245244,28308258.26042015
paragliders,open,High mountains,available segments,1049.0,34332793.22258613,19274,13222,33992477.91545762,34686284.83356166
paragliders,open,High mountains,available segments,1183.0,42104645.2802089,19249,13204,41675318.43540126,42556230.24316986
paragliders,open,High mountains,available segments,1334.0,51467376.06821983,19126,13119,50915151.04311372,52047706.84711693
paragliders,open,High mountains,available segments,1504.0,62831719.59424901,18911,12983,62116779.89152547,63560777.58648203
paragliders,open,High mountains,available segments,1695.0,76867404.70547558,18588,12769,75950391.42101523,77793761.00595513
paragliders,open,High mountains,available segments,1911.0,94144914.39323163,18118,12446,92993249.06828313,95299496.66389191
paragliders,open,High mountains,available segments,2155.0,115780641.95975593,17526,12049,114242905.83067206,117299389.27175044
paragliders,open,High mountains,available segments,2429.0,142992467.1163748,16739,11531,141003436.19957647,144937368.55579978
paragliders,open,High mountains,available segments,2739.0,177473702.1523388,15836,10946,174890961.81306475,179976320.027633
paragliders,open,High mountains,available segments,3088.0,220892553.11240134,14811,10272,217588859.1806382,224234434.36530545
paragliders,open,High mountains,available segments,3481.0,275829286.65917754,13609,9459,271537977.90055203,280157257.9243904
paragliders,open,High mountains,available segments,3925.0,346834080.12905604,12324,8602,341174337.6213746,352504458.46800196
paragliders,open,High mountains,available segments,4425.0,438886873.6775167,10952,7672,431022120.02461004,446559759.3682361
paragliders,open,High mountains,available segments,4989.0,549469206.0192559,9539,6744,539248991.0533973,559388704.2683771
paragliders,open,High mountains,available segments,5624.0,697304691.1371819,8080,5772,683020324.9794934,710899881.1816276
paragliders,open,High mountains,available segments,6341.0,885464120.4407772,6664,4783,865505974.1139215,904561854.5621799
paragliders,open,High mountains,available segments,7149.0,1132034950.112526,5357,3867,1105791950.0989175,1158943458.771223
paragliders,open,High mountains,available segments,8059.0,1452539859.8289518,4050,2956,1414594652.0097258,1491322053.1146622
paragliders,open,High mountains,available segments,9086.0,1888296368.649966,2934,2171,1832536593.5359175,1945496532.0405529
paragliders,open,High mountains,available segments,10000.0,2345720790.162064,2209,1642,2263098785.1776185,2430208801.018317
paragliders,open,High mountains,fixed long segments,10.0,9232.562102456393,2209,1642,9136.182828783569,9329.272973532896
paragliders,open,High mountains,fixed long segments,11.0,11111.766453575041,2209,1642,10988.065872397307,11241.411520495347
paragliders,open,High mountains,fixed long segments,12.0,12551.094461864992,2209,1642,12395.301167057953,12708.358005090246
paragliders,open,High mountains,fixed long segments,14.0,17259.202915673453,2209,1642,17052.640600685387,17471.21942644709
paragliders,open,High mountains,fixed long segments,16.0,21887.693568038423,2209,1642,21644.188903979877,22129.64252455227
paragliders,open,High mountains,fixed long segments,18.0,27593.92160267655,2209,1642,27285.0723079078,27898.809398039266
paragliders,open,High mountains,fixed long segments,20.0,32783.31251237834,2209,1642,32428.29659069265,33153.04651480485
paragliders,open,High mountains,fixed long segments,23.0,43280.22230169902,2209,1642,42787.114059188316,43791.008602617134
paragliders,open,High mountains,fixed long segments,25.0,48546.951498132636,2209,1642,47964.63765240868,49156.63724626764
paragliders,open,High mountains,fixed long segments,29.0,66154.75991062839,2209,1642,65391.70871542746,66953.54121876162
paragliders,open,High mountains,fixed long segments,32.0,78144.13367898371,2209,1642,77213.56598001401,79112.89252244745
paragliders,open,High mountains,fixed long segments,37.0,103239.29724458183,2209,1642,102021.65296063191,104513.99407832495
paragliders,open,High mountains,fixed long segments,41.0,125524.3157944064,2209,1642,124024.3865515579,127133.98369127205
paragliders,open,High mountains,fixed long segments,46.0,157992.1981860429,2209,1642,156082.5863357811,159944.33219762717
