discipline,altitude_band,control,control_index,h_eff,slope,intercept_log_m2,h_eff_bootstrap_se,n_flights_min,n_clusters_min,n_lags,status,resamples,n_finite_resamples,requested_low_s,requested_high_s,actual_low_s,actual_high_s,ci95_low,ci95_high
paragliders,High mountains,fixed long segments,1,0.8189064959657568,1.6378129919315136,6.402593070785571,0.0013521450497938473,7982,4796,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8162929721044628,0.8216270049966877
hang gliders,Plains,available segments,0,0.9058162409575053,1.8116324819150107,5.862712472881764,0.002664031383712861,343,322,20,ok,2000,2000,10,100,10.0,95.0,0.9005982983143707,0.9108846407842554
hang gliders,Plains,available segments,0,0.8845809534710908,1.7691619069421816,6.096363189058101,0.004842381525163978,343,322,19,ok,2000,2000,100,1000,107.0,931.0,0.8747302775109779,0.8936579340803139
hang gliders,Plains,available segments,0,0.9423760876411672,1.8847521752823344,5.217471726923012,0.03121414097632781,45,42,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8791593665801108,0.9980756915297891
hang gliders,Plains,fixed long segments,1,0.9067234058580189,1.8134468117160378,6.130849330099177,0.004093603368071688,45,42,20,ok,2000,2000,10,100,10.0,95.0,0.8978761232854582,0.9140226872757699
hang gliders,Plains,fixed long segments,1,0.8897907385471923,1.7795814770943845,6.351157550906091,0.00821476832452486,45,42,19,ok,2000,2000,100,1000,107.0,931.0,0.8756078620657652,0.9056709735795765
hang gliders,Plains,fixed long segments,1,0.8660467999246108,1.7320935998492215,6.732180999630369,0.028786340461448748,45,42,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.8046379369909854,0.9130446549804208
hang gliders,Hills,available segments,0,0.9064182674527751,1.8128365349055502,5.822155754062171,0.002813489850286233,426,370,20,ok,2000,2000,10,100,10.0,95.0,0.9008641708379687,0.9119534202684014
hang gliders,Hills,available segments,0,0.8740530172701846,1.7481060345403692,6.151465184280378,0.004077044268599165,420,365,19,ok,2000,2000,100,1000,107.0,931.0,0.8659463920801201,0.8820390968305122
hang gliders,Hills,available segments,0,0.9870498631805328,1.9740997263610656,4.515219043221629,0.021503984387967086,68,63,20,ok,2000,2000,1000,10000,1049.0,10000.0,0.9428417484367907,1.0256945878194215
