discipline,statistic,days,offset_days,seed,archive_blocks,contributing_blocks,cohort_flights,flights_per_block_median,flights_per_block_p95,largest_block_fraction,size_balance_index,point,se,se_monte_carlo,low,high,valid_replicates,invalid_replicates,se_ratio
para,hurst,4,2,20260919,1854,1477,46273,8.0,142.20000000000005,0.013377131372506646,352.1751134845408,0.8822765078884934,0.0008871001441596566,2.126419582106515e-05,0.8808975249458859,0.8837297228390207,1000,0,1.7116889189355657
para,msd_100,8,0,20260918,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,614697.1473775365,3165.4322958253324,74.90909357008637,609654.6095789438,619963.3613910566,1000,0,2.1843979479949036
para,msd_1000,8,0,20260918,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,38415664.97888114,301006.16794696584,7092.489168150723,37936587.4597576,38905099.13542102,1000,0,2.1641884165117045
para,msd_10000,8,0,20260918,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,1444562811.0101793,28568871.660343505,597743.0096159341,1397865537.2221029,1489895960.4039743,1000,0,1.8188542848055167
para,hurst,8,0,20260918,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,0.8822765078884935,0.0009653617645373482,2.052815573473962e-05,0.8806816902875401,0.8837858630783623,1000,0,1.862697290719042
para,msd_100,8,0,20260919,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,614697.1473775365,3225.8970840122483,70.00656102487345,609474.964470711,620131.4409802809,1000,0,2.2261234208207274
para,msd_1000,8,0,20260919,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,38415664.97888114,308074.27055510844,6751.306316581859,37912456.02359921,38924138.77916273,1000,0,2.21500699573083
para,msd_10000,8,0,20260919,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,1444562811.0101793,28459089.38157904,615361.6049807493,1398126125.5713258,1490531652.2431126,1000,0,1.811864930430572
para,hurst,8,0,20260919,972,844,46273,16.0,234.8499999999999,0.016834871307241803,246.10782850948593,0.8822765078884935,0.0009658128580631831,2.1072377721246548e-05,0.8807157626550488,0.8837941668978476,1000,0,1.8635676905207539
para,msd_100,8,2,20260918,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,614697.1473775374,3175.854132059764,70.01276413043594,609310.0730531254,619814.926414123,1000,0,2.1915898369873976
para,msd_1000,8,2,20260918,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,38415664.978881136,302051.83185097843,6645.384216301102,37902056.537257105,38906889.22014087,1000,0,2.1717065804219775
para,msd_10000,8,2,20260918,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,1444562811.010177,28188545.019221384,612095.8377732002,1399815753.7892654,1491790313.7711854,1000,0,1.79464056194467
para,hurst,8,2,20260918,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,0.8822765078884937,0.0009497481449901342,2.0693918114156495e-05,0.8807452805166194,0.8838359591950171,1000,0,1.8325702980233536
para,msd_100,8,2,20260919,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,614697.1473775374,3267.7409751046957,73.39149879503641,609192.2756466508,619991.2319911959,1000,0,2.254999005984564
para,msd_1000,8,2,20260919,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,38415664.978881136,307323.5926864487,6782.169621043788,37886933.652696125,38913723.2217227,1000,0,2.2096097364023395
para,msd_10000,8,2,20260919,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,1444562811.010177,27210630.699394487,609327.2555743979,1398808016.2150812,1485937024.5294735,1000,0,1.7323810624468714
para,hurst,8,2,20260919,970,846,46273,16.0,241.0,0.017828971538478164,240.79740697427138,0.8822765078884937,0.0009214253973326031,2.0620563512251156e-05,0.8807167959831282,0.8836309317199794,1000,0,1.7779206244342138
para,msd_100,8,5,20260918,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,614697.1473775373,3234.422127454398,69.73472193598958,609582.7697333337,619802.0436946691,1000,0,2.232006373182766
para,msd_1000,8,5,20260918,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,38415664.97888108,304715.82865830645,6600.073836264809,37921993.65258888,38906307.774872705,1000,0,2.190860310963005
para,msd_10000,8,5,20260918,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,1444562811.0101788,26833003.95877438,586964.1983449821,1399169389.1054156,1488893608.6614895,1000,0,1.7083392303647371
para,hurst,8,5,20260918,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,0.8822765078884937,0.000910195361850592,2.0175009770880176e-05,0.8807746087548232,0.883757069634798,1000,0,1.7562519014378704
para,msd_100,8,5,20260919,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,614697.1473775373,3342.2079905252726,72.00721263990243,608926.0337064158,619986.2393823032,1000,0,2.306387119984836
para,msd_1000,8,5,20260919,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,38415664.97888108,309053.6077814913,6610.469191364142,37897332.08851279,38903389.52855714,1000,0,2.2220482809498425
para,msd_10000,8,5,20260919,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,1444562811.0101788,26906676.094395544,569422.1375540383,1401424460.8339074,1490809102.4508622,1000,0,1.713029610899833
para,hurst,8,5,20260919,970,842,46273,15.0,240.94999999999993,0.011972424524020487,244.04783470416137,0.8822765078884937,0.0009032571833148357,1.892412890473361e-05,0.8808492599111293,0.8838267299718128,1000,0,1.742864457646504
