discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,hurst,raw,57,0.00028815867323996183,1948,2.300407272613866
para,hurst,raw,58,-0.00254413590470459,1924,2.3018959230790967
para,hurst,raw,59,0.014580179113122944,1933,2.3032478689216194
para,hurst,raw,60,0.013464482563211597,1934,2.3050407558731605
para,hurst,raw,61,-0.010288013045650829,1945,2.3072163180906573
para,hurst,raw,62,0.02697584825604158,1929,2.308989829493216
para,hurst,raw,63,0.004709901324753933,1920,2.311563415081599
para,hurst,raw,64,-0.012937926313652417,1921,2.314203760536741
para,msd_100,month_centred,0,1.0,3642,
para,msd_100,month_centred,1,0.21255637116191678,2503,1.0
para,msd_100,month_centred,2,0.12003540361988217,2312,1.2125563711619167
para,msd_100,month_centred,3,0.09372223088106288,2257,1.3634320972958105
para,msd_100,month_centred,4,0.06510919831926161,2246,1.485731075803289
para,msd_100,month_centred,5,0.035667662135847725,2183,1.5851541422354805
para,msd_100,month_centred,6,0.02695702631936205,2214,1.6633254072355572
para,msd_100,month_centred,7,0.07929172783773883,2181,1.726864032612573
para,msd_100,month_centred,8,0.05438122146516767,2174,1.7943409336047695
para,msd_100,month_centred,9,0.05286638636590447,2171,1.8589076835909593
para,msd_100,month_centred,10,0.06651589520513308,2183,1.9211343608530922
para,msd_100,month_centred,11,0.05109343264199613,2130,1.9841408959230433
para,msd_100,month_centred,12,0.055955150404535366,2155,2.0451619139216684
para,msd_100,month_centred,13,0.045281437552574605,2172,2.105403567675049
para,msd_100,month_centred,14,0.053558271084761196,2167,2.1635080476854576
para,msd_100,month_centred,15,0.05956105106161872,2158,2.2210063665057795
para,msd_100,month_centred,16,0.039809588907334256,2165,2.2787625268562643
para,msd_100,month_centred,17,0.0511689289721048,2115,2.334407325860495
para,msd_100,month_centred,18,0.06864190043646624,2132,2.389554805972268
para,msd_100,month_centred,19,0.02782173837192444,2139,2.446122751381377
para,msd_100,month_centred,20,0.06329501254701722,2121,2.499816076086767
para,msd_100,month_centred,21,0.057893777385547254,2114,2.5544238472532648
para,msd_100,month_centred,22,0.03362316135877332,2144,2.6093303462578583
para,msd_100,month_centred,23,0.02974200191205305,2077,2.6623861202497716
para,msd_100,month_centred,24,0.018280909627504775,2108,2.7134990799016965
para,msd_100,month_centred,25,0.017441322815627103,2079,2.7619854755516675
para,msd_100,month_centred,26,0.028272627788473195,2083,2.80808378867592
para,msd_100,month_centred,27,0.04059834349757257,2071,2.852861680664189
para,msd_100,month_centred,28,0.05069747913329631,2104,2.8973410334745506
para,msd_100,month_centred,29,0.06597353063414586,2078,2.942249222583046
para,msd_100,month_centred,30,0.05841246095193889,2066,2.988561767793252
para,msd_100,month_centred,31,0.013713055392046748,2065,3.0356549527287293
para,msd_100,month_centred,32,0.015560956398838189,2082,3.0806618795677436
para,msd_100,month_centred,33,0.011104683859985615,2052,3.1238842021376563
para,msd_100,month_centred,34,0.036059306954485566,2045,3.16521725184228
para,msd_100,month_centred,35,0.01224091548605367,2056,3.2062489448183222
para,msd_100,month_centred,36,0.03194596400961349,2041,3.2456811501560336
para,msd_100,month_centred,37,0.022792585401090956,2030,3.284708693800332
para,msd_100,month_centred,38,0.027415899479305582,2022,3.3228817659581487
para,msd_100,month_centred,39,0.01982295463105678,2024,3.3605031882350156
para,msd_100,month_centred,40,0.015926493494347337,2066,3.397234687129589
para,msd_100,month_centred,41,0.007120363472518035,2054,3.4329513077119587
para,msd_100,month_centred,42,0.010064647854164513,2029,3.4673062017652887
para,msd_100,month_centred,43,0.008365584253928129,2045,3.5005313169256334
para,msd_100,month_centred,44,0.0272660657114494,2025,3.5326264534084135
para,msd_100,month_centred,45,0.025478166865986942,2004,3.5645069645235776
para,msd_100,month_centred,46,0.04860738407757066,1974,3.5961091128453013
para,msd_100,month_centred,47,0.0461418929270418,1990,3.6284348882204647
para,msd_100,month_centred,48,0.023825149616031285,1991,3.66133633516029
para,msd_100,month_centred,49,0.03270784677808931,1983,3.693867320984856
para,msd_100,month_centred,50,0.03337162592020548,1982,3.7264053812475644
para,msd_100,month_centred,51,0.0370496988677981,1967,3.758976130359589
para,msd_100,month_centred,52,0.02571594891655681,1950,3.7917191467699087
para,msd_100,month_centred,53,0.03677516124959468,1981,3.8241969908219735
