configuration,window_s,contrast,point,low,high,se,sim_low,sim_high
calendar_3day_seed20260922,100_1000,circuit_alt1_experts,0.07901133670109539,0.07505300686005445,0.08294187144666743,0.002425165573910679,0.07231302918345432,0.08570964421873646
calendar_3day_seed20260922,100_1000,circuit_alt2_beginners,0.012434044031940483,0.010873223035659102,0.014064532040554394,0.0010133692331514867,0.009635118125360394,0.015232969938520573
calendar_3day_seed20260922,100_1000,circuit_alt2_experts,0.015234527367371964,0.013109277324740381,0.01749689745589663,0.0012890990744833318,0.011674035616010053,0.018795019118733873
calendar_3day_seed20260922,100_1000,circuit_alt3_beginners,0.00822763846356045,0.006371226116544509,0.009861532127587079,0.0010542823934238234,0.005315710404891943,0.011139566522228955
calendar_3day_seed20260922,100_1000,circuit_alt3_experts,0.0029726355807433436,0.0011213251139004232,0.004724514027464199,0.0010952093008752832,-5.233259972346532e-05,0.005997603761210153
calendar_3day_seed20260922,100_1000,equipment_alt0_open,0.008920075105799952,0.006964812513480101,0.011091026431343094,0.0012686700269973754,0.005416008385300064,0.012424141826299839
calendar_3day_seed20260922,100_1000,equipment_alt0_closed,0.0075732564598820495,-0.006678369168093141,0.021913406554420863,0.008826461976023547,-0.01680543225489892,0.031951945174663016
calendar_3day_seed20260922,100_1000,equipment_alt1_open,0.01701969625519828,0.01409047947283884,0.019885267906189212,0.0017044456019711539,0.012312017360233834,0.021727375150162726
calendar_3day_seed20260922,100_1000,equipment_alt1_closed,-0.003469985612176374,-0.00902646307757386,0.0021488933394192768,0.003331523257162858,-0.01267165312664025,0.005731681902287502
calendar_3day_seed20260922,100_1000,equipment_alt2_open,0.013497287491341603,0.01190343352751449,0.015034135062686938,0.0009503986831834554,0.010872286249031218,0.01612228873365199
calendar_3day_seed20260922,100_1000,equipment_alt2_closed,0.010696804155910122,0.009481973184771463,0.012049484071875593,0.0007652515188038566,0.008583179397075858,0.012810428914744387
calendar_3day_seed20260922,100_1000,equipment_alt3_open,0.006093636813657599,0.004453526454408663,0.007886903691139553,0.0010580101272993593,0.0031714127537135995,0.009015860873601598
calendar_3day_seed20260922,100_1000,equipment_alt3_closed,0.011348639696474705,0.010164671176978873,0.012488962338179992,0.0006890541809733988,0.009445471991090594,0.013251807401858816
calendar_3day_seed20260922,100_1000,attenuation_beginners,0.06980829701129676,0.05972446200644109,0.0818261410845516,0.006673587699215026,0.05137584722882455,0.08824074679376898
calendar_3day_seed20260922,100_1000,attenuation_experts,0.07641011854003177,0.06603707473829311,0.08830019266691333,0.006800417948309911,0.05762736359896924,0.09519287348109429
calendar_3day_seed20260922,100_1000,attenuation_experts_minus_beginners,0.006601821528735008,-0.008422073544053915,0.02095037012754123,0.009003795363069708,-0.018266662015874683,0.031470305073344695
calendar_3day_seed20260922,1000_10000,circuit_alt0_beginners,0.36248751914409827,0.3230118934193502,0.4135501651297614,0.027555551965588655,0.2877836793932412,0.43719135889495536
calendar_3day_seed20260922,1000_10000,circuit_alt0_experts,0.3266463039305789,0.29124839479374404,0.36849353660237594,0.023714321054092925,0.2623561441095147,0.39093646375164315
calendar_3day_seed20260922,1000_10000,circuit_alt1_beginners,0.3673820782511966,0.34824102056933837,0.3869263066763787,0.011820279976152441,0.33533698250238086,0.3994271740000124
calendar_3day_seed20260922,1000_10000,circuit_alt1_experts,0.37709120611390123,0.363368640838739,0.3914304948807142,0.008533722638659877,0.353956055372852,0.40022635685495045
calendar_3day_seed20260922,1000_10000,circuit_alt2_beginners,0.18806615069908328,0.17994593927036875,0.1972532786132407,0.005094713403417685,0.17425424614566534,0.20187805525250122
calendar_3day_seed20260922,1000_10000,circuit_alt2_experts,0.17666813355444677,0.16815963538466555,0.18665789537873087,0.005720336862982346,0.16116014703808867,0.19217612007080487
calendar_3day_seed20260922,1000_10000,circuit_alt3_beginners,0.11477680244921429,0.10790982597367678,0.12110682670960896,0.003982680433701814,0.10397964907447228,0.1255739558239563
calendar_3day_seed20260922,1000_10000,circuit_alt3_experts,0.08072655399195561,0.07292399654365643,0.08801473214162091,0.004492752320298329,0.0685465820648831,0.09290652591902812
