discipline,statistic,side_km,shift_x_km,shift_y_km,months,month_offset,pool_terrain,config_index,seed,rng_seed,replicate_key,groups,flights,singleton_groups,singleton_group_fraction,flights_in_singletons_fraction,flights_per_group_median,flights_per_group_p95,largest_group_flights,largest_group_fraction,size_balance_index,years_per_group_median,groups_with_multiple_years,archive_groups,unknown_archive_flights,point,se,se_monte_carlo,low,high,valid_replicates,invalid_replicates,se_ratio_site_day,se_ratio_grid
para,msd_100,50,0.0,0.0,3,2,False,16,20260919,546560792,config_16_seed_20260919,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,614697.147377536,7831.910321320208,181.86194966647096,604269.8237432779,628996.5952720264,1000,0,5.4046358398928716,1.4573957491567644
para,msd_1000,50,0.0,0.0,3,2,False,16,20260919,546560792,config_16_seed_20260919,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,38415664.9788811,717712.310527464,16751.191594248303,37453547.484916106,39708950.18042212,1000,0,5.160241995788798,1.4573464260287432
para,msd_10000,50,0.0,0.0,3,2,False,16,20260919,546560792,config_16_seed_20260919,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,1444562811.0101779,103477480.97982477,2637081.1529958155,1311356925.5535,1643787232.835063,1000,0,6.587955656725879,1.5429364315911063
para,hurst,50,0.0,0.0,3,2,False,16,20260919,546560792,config_16_seed_20260919,1029,46273,314,0.3051506316812439,0.006785814621917749,4.0,162.9999999999991,4476,0.09673027467421606,35.562265522315776,3.0,665,1979,3,0.8822765078884934,0.003138496536531874,7.210224129335079e-05,0.8780326146108114,0.8880223618214476,1000,0,6.05583234211763,1.5109194017594396
para,msd_100,50,0.0,0.0,1,0,True,17,20260918,762812032,config_17_seed_20260918,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,614697.1473775366,5891.486020775819,133.49630250186993,606207.878646337,625410.0040033828,1000,0,4.065590027433487,1.0963132020959887
para,msd_1000,50,0.0,0.0,1,0,True,17,20260918,762812032,config_17_seed_20260918,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,38415664.9788811,543015.1742673755,12394.607581694965,37609224.1538984,39409065.090945594,1000,0,3.904196243402542,1.1026162041394336
para,msd_10000,50,0.0,0.0,1,0,True,17,20260918,762812032,config_17_seed_20260918,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,1444562811.010178,75527116.22172283,1696171.8650978035,1331197178.8985605,1577391515.4104836,1000,0,4.808478983423495,1.1261729420552147
para,hurst,50,0.0,0.0,1,0,True,17,20260918,762812032,config_17_seed_20260918,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,0.8822765078884935,0.002328323930236628,5.157498057729459e-05,0.8785580148447116,0.8862909992799718,1000,0,4.492577638857053,1.1208901328477174
para,msd_100,50,0.0,0.0,1,0,True,17,20260919,1500720888,config_17_seed_20260919,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,614697.1473775366,5657.049606753578,133.41890482854495,606277.8462983544,624670.949067981,1000,0,3.903810411296745,1.052688260130875
para,msd_1000,50,0.0,0.0,1,0,True,17,20260919,1500720888,config_17_seed_20260919,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,38415664.9788811,518192.0617523938,12277.516580363425,37633950.796270035,39314284.9345956,1000,0,3.72572185221945,1.052211781955242
para,msd_10000,50,0.0,0.0,1,0,True,17,20260919,1500720888,config_17_seed_20260919,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,1444562811.010178,70126132.51371828,1656753.7786074807,1335486083.099576,1561722740.4319475,1000,0,4.464622128442938,1.0456397240970483
para,hurst,50,0.0,0.0,1,0,True,17,20260919,1500720888,config_17_seed_20260919,1178,46273,306,0.2597623089983022,0.006612927625180991,4.5,152.59999999999945,2185,0.04721976098372701,78.16132620922717,3.0,771,2119,3,0.8822765078884935,0.0021671471340606614,4.9302380487534305e-05,0.8788281439402121,0.8858226084571911,1000,0,4.181581706976914,1.0432972008112855
hang,msd_100,50,0.0,0.0,1,0,False,0,20260918,3104056205,config_0_seed_20260918,267,2326,116,0.4344569288389513,0.04987102321582115,2.0,27.69999999999999,311,0.13370593293207222,20.711885948793334,1.0,127,579,0,1542699.114874741,35317.14486989163,850.9317796317289,1478683.932943148,1592878.359525267,1000,0,2.273118709145265,1.0324669303892686
hang,msd_1000,50,0.0,0.0,1,0,False,0,20260918,3104056205,config_0_seed_20260918,267,2326,116,0.4344569288389513,0.04987102321582115,2.0,27.69999999999999,311,0.13370593293207222,20.711885948793334,1.0,127,579,0,86537905.2788684,2387112.047269275,57312.05388043562,82418461.35277562,90050494.3638836,1000,0,2.126866517256759,1.0207864261638746
hang,msd_10000,50,0.0,0.0,1,0,False,0,20260918,3104056205,config_0_seed_20260918,267,2326,116,0.4344569288389513,0.04987102321582115,2.0,27.69999999999999,311,0.13370593293207222,20.711885948793334,1.0,127,579,0,2121003932.6302073,151595111.17598993,4085070.4627819033,1904206818.6186872,2391723291.9208455,1000,0,1.9199255910147537,0.9802008248404087
