discipline,estimator,t_s,msd_m2,n_flights,sem_m2
hang gliders,flight,196.0,4121508.848499251,6091.0,
hang gliders,flight,221.0,5048699.91318298,6091.0,
hang gliders,flight,249.0,6236448.413454133,6090.0,
hang gliders,flight,281.0,7635350.807757437,6089.0,
hang gliders,flight,316.0,9362033.387373807,6088.0,
hang gliders,flight,357.0,11479258.527015146,6087.0,
hang gliders,flight,402.0,13971186.756632537,6084.0,
hang gliders,flight,453.0,17111827.436606903,6083.0,
hang gliders,flight,511.0,20889702.317053273,6082.0,
hang gliders,flight,576.0,25523989.396437924,6081.0,
hang gliders,flight,649.0,31073208.387073144,6077.0,
hang gliders,flight,732.0,37807085.04142721,6071.0,
hang gliders,flight,825.0,46042353.95382783,6064.0,
hang gliders,flight,931.0,56214842.70437215,6058.0,
hang gliders,flight,1049.0,68452636.06703575,6052.0,
hang gliders,flight,1183.0,83268426.80725965,6042.0,
hang gliders,flight,1334.0,101409401.81792784,6009.0,
hang gliders,flight,1504.0,123227025.79283935,5972.0,
hang gliders,flight,1695.0,149894134.29397547,5910.0,
hang gliders,flight,1911.0,182391300.1519732,5817.0,
hang gliders,flight,2155.0,223173966.99514046,5684.0,
hang gliders,flight,2429.0,270071591.05467045,5533.0,
hang gliders,flight,2739.0,330132020.25468385,5331.0,
hang gliders,flight,3088.0,404762221.82217914,5067.0,
hang gliders,flight,3481.0,499663907.39183503,4714.0,
hang gliders,flight,3925.0,621167164.5934032,4301.0,
hang gliders,flight,4425.0,772643853.2012718,3853.0,
hang gliders,flight,4989.0,968791661.9322158,3343.0,
hang gliders,flight,5624.0,1225833312.40406,2805.0,
hang gliders,flight,6341.0,1545738452.7327738,2264.0,
hang gliders,flight,7149.0,1970815156.4236662,1762.0,
hang gliders,flight,8059.0,2587541434.5266614,1219.0,
hang gliders,flight,9086.0,3479020834.119403,804.0,
hang gliders,flight,10000.0,4288448629.720354,565.0,
hang gliders,flight,10244.0,4601860395.803536,509.0,
hang gliders,flight,11549.0,5796813727.351352,296.0,
hang gliders,flight,13021.0,7500840957.023255,129.0,
hang gliders,flight,14680.0,9490786688.0,34.0,
hang gliders,flight,16550.0,11481142710.857143,7.0,
hang gliders,flight,18659.0,15398623744.0,6.0,
hang gliders,flight,21037.0,18152209536.0,4.0,
hang gliders,flight,23717.0,34695195392.0,2.0,
hang gliders,flight,26739.0,81150918656.0,1.0,
hang gliders,flight,30146.0,,0.0,
hang gliders,flight,33987.0,,0.0,
hang gliders,flight,38318.0,,0.0,
hang gliders,flight,43200.0,,0.0,
hang gliders,window,1.0,291.8507889370926,21440171.0,
hang gliders,window,2.0,1137.5613562537203,26157744.0,
hang gliders,window,3.0,2797.0787502155467,28760829.0,
hang gliders,window,4.0,4256.180136892368,29442558.0,
hang gliders,window,5.0,6431.590820486359,33220359.0,
hang gliders,window,6.0,9216.580614519176,33268111.0,
hang gliders,window,7.0,12099.163617665285,33295299.0,
hang gliders,window,8.0,16748.01953172144,33320192.0,
hang gliders,window,9.0,19192.285668742268,33328244.0,
hang gliders,window,10.0,22591.563813704393,34501007.0,
hang gliders,window,11.0,27739.335356847005,34515925.0,
hang gliders,window,12.0,30553.151354715174,34514020.0,
hang gliders,window,14.0,41769.512966234266,34505064.0,
hang gliders,window,16.0,51413.19416248964,34503643.0,
hang gliders,window,18.0,64396.68646686812,34495358.0,
hang gliders,window,20.0,76226.49024594284,34490330.0,
hang gliders,window,23.0,99559.17363599979,34477863.0,
hang gliders,window,25.0,109519.7712758115,34472730.0,
hang gliders,window,29.0,147870.13114644328,34455824.0,
hang gliders,window,32.0,174741.6978014152,34445329.0,
hang gliders,window,37.0,226642.24899369638,34426636.0,
hang gliders,window,41.0,275866.9963347209,34410842.0,
hang gliders,window,46.0,344412.6278261211,34390927.0,
hang gliders,window,52.0,426350.471784703,34368148.0,
hang gliders,window,59.0,550544.5497340857,34337605.0,
hang gliders,window,67.0,687704.8935918881,34307750.0,
hang gliders,window,75.0,853102.046525809,34274819.0,
hang gliders,window,85.0,1056396.6024894156,34237735.0,
hang gliders,window,95.0,1315578.7322108578,34195212.0,
hang gliders,window,107.0,1625376.7962787608,34149984.0,
hang gliders,window,121.0,2015744.9234084985,34097806.0,
hang gliders,window,137.0,2530290.0872370848,34035210.0,
hang gliders,window,154.0,3122302.0760244024,33969213.0,
hang gliders,window,174.0,3891332.2515679896,33892483.0,
hang gliders,window,196.0,4800789.079022173,33808566.0,
hang gliders,window,221.0,5923159.866157829,33714939.0,
hang gliders,window,249.0,7305265.1940446,33611065.0,
hang gliders,window,281.0,8999720.210410057,33495180.0,
hang gliders,window,316.0,11029098.84877005,33367073.0,
hang gliders,window,357.0,13581025.762689713,33213815.0,
hang gliders,window,402.0,16623954.543131698,33057267.0,
hang gliders,window,453.0,20384260.88768447,32876974.0,
hang gliders,window,511.0,24995168.872965492,32676048.0,
hang gliders,window,576.0,30607103.720064253,32447585.0,
hang gliders,window,649.0,37424470.929427244,32198047.0,
hang gliders,window,732.0,45854075.117316045,31918795.0,
hang gliders,window,825.0,56139927.22542083,31603389.0,
hang gliders,window,931.0,68926371.54796712,31245554.0,
hang gliders,window,1049.0,84401189.80215263,30861950.0,
hang gliders,window,1183.0,103545560.88413404,30426628.0,
hang gliders,window,1334.0,127034912.05437647,29938057.0,
hang gliders,window,1504.0,155713484.84046245,29387258.0,
hang gliders,window,1695.0,190808493.13355798,28760272.0,
hang gliders,window,1911.0,233878797.04841253,28038339.0,
hang gliders,window,2155.0,286876216.9615917,27217882.0,
hang gliders,window,2429.0,351074939.97809213,26283858.0,
hang gliders,window,2739.0,429503221.26234025,25219098.0,
hang gliders,window,3088.0,526463301.39783263,23968390.0,
hang gliders,window,3481.0,645131867.2869008,22499472.0,
hang gliders,window,3925.0,792351750.6949656,20820165.0,
hang gliders,window,4425.0,973017644.5816913,18995711.0,
hang gliders,window,4989.0,1198122724.225192,16997202.0,
hang gliders,window,5624.0,1485160823.937746,14769714.0,
hang gliders,window,6341.0,1836229495.86359,12443367.0,
hang gliders,window,7149.0,2281993502.5274177,10185506.0,
hang gliders,window,8059.0,2861791810.092806,7693217.0,
hang gliders,window,9086.0,3628079659.78903,5511686.0,
hang gliders,window,10000.0,4323295298.907936,3981688.0,
hang gliders,window,10244.0,4594813150.269337,3567136.0,
hang gliders,window,11549.0,5586821048.588548,2168510.0,
hang gliders,window,13021.0,6917054247.545257,989816.0,
hang gliders,window,14680.0,9155694763.835064,273076.0,
hang gliders,window,16550.0,10370043064.587694,53783.0,
hang gliders,window,18659.0,16741988278.108397,31846.0,
hang gliders,window,21037.0,20710122186.39423,21495.0,
hang gliders,window,23717.0,38050382714.76406,10952.0,
hang gliders,window,26739.0,81150918656.0,5505.0,
hang gliders,window,30146.0,,0.0,
hang gliders,window,33987.0,,0.0,
hang gliders,window,38318.0,,0.0,
hang gliders,window,43200.0,,0.0,
