group,lag_s,flights,point,low,high
closed_3,30,12581,66290.83477851115,65964.7886297281,66630.22146901676
closed_3,40,12581,113894.89631906066,113322.70989972302,114504.59838523358
closed_3,50,12581,173422.7220080929,172527.7367070287,174377.04892959984
closed_3,60,12581,244487.51270864584,243194.14227539953,245877.84228927048
closed_3,80,12581,419819.0393158878,417516.21441622585,422293.7260253195
closed_3,90,12581,523451.297041044,520533.2318847566,526587.4894552658
closed_3,100,12581,637346.8813356154,633742.135132747,641212.7903692662
closed_3,110,12581,761243.153630606,756879.8477287989,765923.504570435
closed_3,140,12581,1190556.9591243651,1183544.673513349,1198018.0550112794
closed_3,170,12581,1701848.6527007108,1691533.3137884105,1712800.5234183294
closed_3,210,12581,2502616.1503567635,2487008.0580710834,2518989.2211003737
closed_3,260,12581,3681465.885547829,3657780.3265072065,3706352.4135321444
closed_3,320,12581,5337393.43415228,5302458.757542598,5374710.049887528
closed_3,390,12581,7577287.847921759,7526575.183621422,7632586.643145971
closed_3,470,12581,10515033.977987848,10441584.146740446,10595284.782064501
closed_3,580,12581,15168166.745088154,15060139.133271769,15289016.098833255
closed_3,710,12581,21523606.271893777,21363382.604838617,21702549.226552088
closed_3,870,12581,30537704.776694402,30301798.434492152,30805236.80860299
closed_3,1000,12581,38777729.61941012,38470251.12871356,39128447.84079092
closed_3,1070,12581,43540086.31186981,43185362.93656087,43939421.329991944
closed_3,1310,12581,61511904.3860055,60981121.59057318,62105301.929119706
closed_3,1610,12581,87330164.75963828,86536793.85854276,88218074.62851553
closed_3,1970,12581,122769425.18022753,121556971.03002012,124080150.35429545
closed_3,2410,12581,171846140.52531517,170007292.62378618,173768938.14889613
closed_3,2960,12581,240473496.67971745,237784950.82709527,243373488.00144356
closed_3,3620,12581,330574920.526185,326641710.6321035,334869504.4026641
closed_3,4440,12581,448952270.93562907,443135872.99931836,455251569.2985494
closed_3,5440,12581,593946001.3419858,585539113.8614167,603011773.2612092
closed_3,6660,12581,756505243.130352,744531187.1937605,769189184.4447632
closed_3,8160,12581,909582768.7734128,892800224.06059,927313488.0834098
closed_3,10000,12581,1001152230.3786818,978830262.9644613,1025564252.1781161
mountains,10,41521,8657.195852171508,8637.077632516657,8677.338705036576
mountains,20,41521,29696.13872185326,29623.43054875177,29776.59331665703
mountains,30,41521,62895.827620122785,62728.693374995244,63080.65885916806
mountains,40,41521,107781.22391211822,107479.49021720877,108107.33797250135
mountains,50,41521,163813.41293685243,163335.02383653336,164326.13096715882
mountains,60,41521,230630.93934482915,229938.29668947484,231374.23859802075
mountains,80,41521,395288.9587882858,394046.0047577393,396603.1378931206
mountains,90,41521,492537.5303161494,490970.42305209197,494205.97077162645
mountains,100,41521,599374.9598549517,597437.2504977838,601439.6864905353
mountains,110,41521,715558.2174050686,713230.256973857,718063.2158707639
mountains,140,41521,1117979.2976689816,1114204.975876746,1122069.9209782537
mountains,170,41521,1597104.4944820972,1591555.1365102606,1603144.9705163992
mountains,210,41521,2347482.771943662,2339068.8817724376,2356577.520684737
mountains,260,41521,3452545.8866598927,3439720.672986966,3466400.205248643
mountains,320,41521,5006014.140825023,4986818.1497487025,5027013.349555171
mountains,390,41521,7109667.52708965,7081472.759336529,7140751.112031591
mountains,470,41521,9872445.351613142,9831855.302102774,9917804.217590593
mountains,580,41521,14255219.182636388,14194503.057692945,14323562.353864359
mountains,710,41521,20250745.78887665,20161322.332748815,20351527.189159613
mountains,870,41521,28765138.427017488,28630996.863409378,28913306.751886338
mountains,1000,41521,36552562.74759274,36373081.20477399,36750732.04286686
mountains,1070,41521,41054027.9967535,40847311.635783516,41279170.68542061
mountains,1310,41521,58042657.240686804,57741750.53205821,58375181.628083475
mountains,1610,41521,82444130.77977431,81994294.41589206,82938963.65156047
mountains,1970,41521,115939475.44996324,115267009.24683918,116672038.86839241
mountains,2410,41521,162359788.02884895,161338955.36128464,163438277.42370534
mountains,2960,41521,227499085.16906467,225956766.13711616,229115275.9113622
mountains,3620,41521,313801078.1621211,311490159.40790224,316225448.2431594
mountains,4440,41521,429170915.4497884,425719228.99595284,432750965.6831332
mountains,5440,41521,574869096.9865302,569879238.6405451,580305363.2222018
mountains,6660,41521,748369506.0886712,741083198.7205596,756557446.2288641
mountains,8160,41521,938150953.0787028,927500946.2490246,950103712.5074766
mountains,10000,41521,1118732686.3968523,1102931609.7756467,1135342378.6578884
lowlands,10,4752,10669.461432912947,10540.796671480035,10794.335026797386
lowlands,20,4752,36227.31403547834,35732.726573768916,36729.208283288426
lowlands,30,4752,76595.37731646873,75488.48758448537,77721.1867385185
lowlands,40,4752,131796.56198103394,129829.95451868865,133813.0435648418
lowlands,50,4752,201128.34195767515,198033.6812954984,204261.9268931343
lowlands,60,4752,284240.2536101359,279762.204102466,288732.82723056007
lowlands,80,4752,490572.182188895,482550.7096979168,498556.6353658284
lowlands,90,4752,613235.646774964,603064.5517521756,623361.082436371
lowlands,100,4752,748576.0506025488,735996.6989911759,761099.5328850746
lowlands,110,4752,896361.9408273438,881114.1914880248,911537.6513091823
lowlands,140,4752,1412384.169780586,1387709.6230606097,1437079.8513130124
lowlands,170,4752,2033731.4536950842,1997557.8902983475,2070331.4424803634
lowlands,210,4752,3019186.052541116,2964482.594583903,3074820.4074777053
lowlands,260,4752,4493008.517131873,4409454.545278684,4578193.604785245
lowlands,320,4752,6602650.2684385795,6476623.638380948,6731457.800245429
lowlands,390,4752,9518499.320765827,9330796.799014658,9709242.31520033
lowlands,470,4752,13435282.890890658,13161957.763979515,13710426.365276985
