discipline,altitude_band,control,lag_s,mean_m2,n_flights,n_clusters,pointwise_95_low_m2,pointwise_95_high_m2
paragliders,Low mountains,available segments,402.0,5864563.081529533,78351,41170,5834517.660047693,5895105.51839211
paragliders,Low mountains,available segments,453.0,7203776.398029737,78327,41158,7166734.225033486,7242376.806359351
paragliders,Low mountains,available segments,511.0,8835355.807341944,78300,41146,8787829.100557677,8884453.347125802
paragliders,Low mountains,available segments,576.0,10818050.573417231,78278,41136,10758312.052544605,10879874.277151778
paragliders,Low mountains,available segments,649.0,13213097.582066849,78233,41113,13138213.416310322,13292309.196270747
paragliders,Low mountains,available segments,732.0,16135012.440342765,78197,41093,16039514.301277874,16234072.93906184
paragliders,Low mountains,available segments,825.0,19666167.18409632,78151,41074,19545148.809449427,19790506.049063373
paragliders,Low mountains,available segments,931.0,23986315.445989303,78085,41036,23831311.984625407,24144471.77367604
paragliders,Low mountains,available segments,1049.0,29145059.67961936,78017,41005,28949903.47378422,29346596.602514543
paragliders,Low mountains,available segments,1183.0,35388192.813879795,77911,40959,35139020.89922518,35643994.17024174
paragliders,Low mountains,available segments,1334.0,42829431.54634517,77507,40754,42505758.7581007,43152011.91234572
paragliders,Low mountains,available segments,1504.0,51778881.45621153,76819,40383,51375018.19031576,52190116.33194148
paragliders,Low mountains,available segments,1695.0,62460546.8350506,75690,39806,61942478.641233645,62978888.64941444
paragliders,Low mountains,available segments,1911.0,75344884.8919511,73984,38968,74710198.57092248,76005558.04004495
paragliders,Low mountains,available segments,2155.0,91134277.19502337,71566,37693,90307849.7894717,91993184.02627347
paragliders,Low mountains,available segments,2429.0,110434948.61199494,68309,36051,109355499.6845573,111526102.27657469
paragliders,Low mountains,available segments,2739.0,134537200.78903827,64333,34007,133102692.6293978,135943698.2508155
